person,year,location,source_biography_page
Veselin Čajkanović,1881,Belgrade,Veselin Čajkanović
Veselin Čajkanović,1919,Belgrade,Veselin Čajkanović
Veselin Čajkanović,1921,Belgrade,Veselin Čajkanović
Vjekoslav Perica,2007,Belgrade,Vjekoslav Perica
Čedomir Antić,2022,Belgrade,Čedomir Antić
Slobodan Jovanović,1941,Belgrade,Slobodan Jovanović
Milorad Ekmečić,2015,Belgrade,Milorad Ekmečić
Božidar Knežević,1883,Belgrade,Božidar Knežević
Božidar Knežević,1902,Belgrade,Božidar Knežević
Božidar Knežević,1905,Belgrade,Božidar Knežević
Emilio Gentile,1946,Bojano,Emilio Gentile
Robert Paxton,1932,Lexington,Robert Paxton
Mary W.M. Hargreaves,2008,Lexington,Mary W.M. Hargreaves
James C. Klotter,2017,Lexington,James C. Klotter
Edward Willett Wagner,1948,Lexington,Edward Willett Wagner
Charles P. Roland,2022,Lexington,Charles P. Roland
Edward Mann Butler,1829,Lexington,Edward Mann Butler
George C. Herring,2022,Lexington,George C. Herring
Richard R. John,1959,Lexington,Richard R. John
Sandra Mitchell,2000,the Ohio State University,Sandra Mitchell
Andrew Cayton,2015,the Ohio State University,Andrew Cayton
Irina Livezeanu,1994,the Ohio State University,Irina Livezeanu
Tom D. Crouch,1976,the Ohio State University,Tom D. Crouch
Wilbur Henry Siebert,1902,the Ohio State University,Wilbur Henry Siebert
Sandra Mitchell,1973,Pitzer College,Sandra Mitchell
Haralampije Polenaković,1909,Gostivar,Haralampije Polenaković
Leonhard Harding,1936,Paderborn,Leonhard Harding
Lutz von Padberg,1999,Paderborn,Lutz von Padberg
Dietrich of Nieheim,1418,Paderborn,Dietrich of Nieheim
August Potthast,1824,Paderborn,August Potthast
Leonhard Harding,1948,Rietberg,Leonhard Harding
Leonhard Harding,1959,Leuven,Leonhard Harding
Petrus Divaeus,1536,Leuven,Petrus Divaeus
Jan Roegiers,2013,Leuven,Jan Roegiers
Charles Piot (archivist),1812,Leuven,Charles Piot (archivist)
Charles Moeller (historian),1838,Leuven,Charles Moeller (historian)
Jean-Noël Paquot,1755,Leuven,Jean-Noël Paquot
Victor Brants,1914,Leuven,Victor Brants
Victor Brants,1917,Leuven,Victor Brants
Christian Lupus,1660,Leuven,Christian Lupus
Ludwig von Pastor,1875,Leuven,Ludwig von Pastor
Valerius Andreas,1655,Leuven,Valerius Andreas
Leonhard Harding,2002,Africa,Leonhard Harding
Jessie Webb,1922,Africa,Jessie Webb
W. E. B. Du Bois,1960,Africa,W. E. B. Du Bois
Richard Seymour Hall,1925,Africa,Richard Seymour Hall
Hugh C. Brooks,1922,Africa,Hugh C. Brooks
Hugh C. Brooks,1961,Africa,Hugh C. Brooks
Kristin Mann,1946,Africa,Kristin Mann
Bernard Lugan,1970,Africa,Bernard Lugan
Abdul Sheriff,1971,Africa,Abdul Sheriff
Jean Suret-Canale,1921,Africa,Jean Suret-Canale
John McCracken (historian),1964,Africa,John McCracken (historian)
James Barnes (author),1914,Africa,James Barnes (author)
John Thornton (historian),1980,Africa,John Thornton (historian)
Ray Beachey,1978,Africa,Ray Beachey
T. Walter Wallbank,1955,Africa,T. Walter Wallbank
Bi Skaarup,1985,Museum of Copenhagen,Bi Skaarup
Bi Skaarup,2006,Falster,Bi Skaarup
John Stow,1547,Aldgate,John Stow
William Winterbotham,1763,Aldgate,William Winterbotham
Joseph Turmel,1859,Rennes,Joseph Turmel
Jules Isaac,1877,Rennes,Jules Isaac
Henning Eichberg,2002,Rennes,Henning Eichberg
Jens Bloch,1761,Hals,Jens Bloch
Jens Bloch,1790,Denmark,Jens Bloch
George F. Kennan,1970,Denmark,George F. Kennan
Brian Patrick McGuire,1971,Denmark,Brian Patrick McGuire
Poul Helgesen,1522,Denmark,Poul Helgesen
Vello Helk,1945,Denmark,Vello Helk
Andrew Jenson,1873,Denmark,Andrew Jenson
Andrew Jenson,1879,Denmark,Andrew Jenson
Mikael Rothstein,2011,Denmark,Mikael Rothstein
Asgaut Steinnes,1948,Denmark,Asgaut Steinnes
Haggai Erlich,1989,Denmark,Haggai Erlich
Milorad Ekmečić,1991,Denmark,Milorad Ekmečić
Linda Maria Koldau,1971,Denmark,Linda Maria Koldau
Henning Eichberg,1982,Denmark,Henning Eichberg
Jens Bloch,1804,Christianssand,Jens Bloch
Dmitri Volkogonov,1928,Chita,Dmitri Volkogonov
Boris Petrovich Polevoy,1918,Chita,Boris Petrovich Polevoy
Jean Starobinski,2019,Morges,Jean Starobinski
James T. Shotwell,1917,Columbia,James T. Shotwell
James T. Shotwell,1930,Columbia,James T. Shotwell
James T. Shotwell,1942,Columbia,James T. Shotwell
E. Herbert Norman,1939,Columbia,E. Herbert Norman
Sarah B. Pomeroy,1957,Columbia,Sarah B. Pomeroy
Sarah B. Pomeroy,1962,Columbia,Sarah B. Pomeroy
Frank Johnson Goodnow,1884,Columbia,Frank Johnson Goodnow
Frank Tannenbaum,1921,Columbia,Frank Tannenbaum
Ainslie Embree,1991,Columbia,Ainslie Embree
Susan Pedersen (historian),2003,Columbia,Susan Pedersen (historian)
James Harvey Robinson,1919,Columbia,James Harvey Robinson
Mott T. Greene,1968,Columbia,Mott T. Greene
Henry Graff,1942,Columbia,Henry Graff
Henry Graff,1949,Columbia,Henry Graff
Henry Graff,1991,Columbia,Henry Graff
Marc Raeff,1949,Columbia,Marc Raeff
John A. Carpenter,1954,Columbia,John A. Carpenter
Marina Rustow,2004,Columbia,Marina Rustow
Elliott Van Kirk Dobbie,1937,Columbia,Elliott Van Kirk Dobbie
Eric Foner,1969,Columbia,Eric Foner
Hugh Borton,1948,Columbia,Hugh Borton
Hugh Borton,1967,Columbia,Hugh Borton
Leopold H. Haimson,1965,Columbia,Leopold H. Haimson
Asa Briggs,1980,Columbia,Asa Briggs
Allan Nevins,1964,Columbia,Allan Nevins
Roy Franklin Nichols,1920,Columbia,Roy Franklin Nichols
Roy Franklin Nichols,1923,Columbia,Roy Franklin Nichols
Beatrice Fry Hyslop,1928,Columbia,Beatrice Fry Hyslop
Richard Neustadt,1960,Columbia,Richard Neustadt
Page Miller,1940,Columbia,Page Miller
Hamid Dabashi,2007,Columbia,Hamid Dabashi
Carlton J. H. Hayes,1909,Columbia,Carlton J. H. Hayes
Carlton J. H. Hayes,1907,Columbia,Carlton J. H. Hayes
Carol Gluck,1977,Columbia,Carol Gluck
Charles K. Armstrong,1996,Columbia,Charles K. Armstrong
Constantin Fasolt,1981,Columbia,Constantin Fasolt
David Roediger,1952,Columbia,David Roediger
David Syrett,1964,Columbia,David Syrett
Dixon Ryan Fox,1912,Columbia,Dixon Ryan Fox
Feng Youlan,1923,Columbia,Feng Youlan
Gwendolyn Midlo Hall,1946,Columbia,Gwendolyn Midlo Hall
Herbert L. Osgood,1889,Columbia,Herbert L. Osgood
Isser Woloch,1937,Columbia,Isser Woloch
Isser Woloch,1959,Columbia,Isser Woloch
James Sterling Young,1964,Columbia,James Sterling Young
James Sterling Young,1968,Columbia,James Sterling Young
James Sterling Young,1971,Columbia,James Sterling Young
James Sterling Young,1978,Columbia,James Sterling Young
John Shelton Curtiss,1933,Columbia,John Shelton Curtiss
John Shelton Curtiss,1939,Columbia,John Shelton Curtiss
Mark D. Naison,1976,Columbia,Mark D. Naison
Mark D. Naison,1968,Columbia,Mark D. Naison
Quentin Anderson,1945,Columbia,Quentin Anderson
Rafał Taubenschlag,1940,Columbia,Rafał Taubenschlag
Richard Bushman,1997,Columbia,Richard Bushman
Richard Bushman,2001,Columbia,Richard Bushman
Robert Livingston Schuyler,1909,Columbia,Robert Livingston Schuyler
Robert V. Remini,1947,Columbia,Robert V. Remini
Merle Curti,1931,Columbia,Merle Curti
Walter Edgar,2007,Columbia,Walter Edgar
Walter Johnson (historian),1967,Columbia,Walter Johnson (historian)
William Archibald Dunning,1903,Columbia,William Archibald Dunning
Alfred Cauchie,1860,Haulchin,Alfred Cauchie
Alfred Cauchie,1885,Tournai,Alfred Cauchie
André Vauchez,1938,Thionville,André Vauchez
Donald Cameron Watt,1951,"Oriel College,",Donald Cameron Watt
Herman Merivale,1823,"Oriel College,",Herman Merivale
Donald Cameron Watt,1962,Chatham House,Donald Cameron Watt
Elizabeth Wiskemann,1935,Chatham House,Elizabeth Wiskemann
E. H. Carr,1937,Chatham House,E. H. Carr
Ali M. Ansari,2010,Chatham House,Ali M. Ansari
Donald F. Durnbaugh,1958,Huntingdon,Donald F. Durnbaugh
Christina Crosby,1953,Huntingdon,Christina Crosby
Christina Crosby,1974,Huntingdon,Christina Crosby
Richard Smoke,1944,Huntingdon,Richard Smoke
Donald F. Durnbaugh,1989,Juniata,Donald F. Durnbaugh
D. M. Schurman,1972,Queen's University,D. M. Schurman
Arthur G. Dorland,1916,Queen's University,Arthur G. Dorland
Daniel Woolf,2009,Queen's University,Daniel Woolf
David Keir (historian),1946,Queen's University,David Keir (historian)
David N. Hempton,1979,Queen's University,David N. Hempton
Doug Owram,1970,Queen's University,Doug Owram
Siobhan Roberts,1997,Queen's University,Siobhan Roberts
Lubomyr Luciuk,1976,Queen's University,Lubomyr Luciuk
Miri Rubin,2017,Queen's University,Miri Rubin
Jerry H. Bentley,1971,Chattanooga,Jerry H. Bentley
John Bright (biblical scholar),1908,Chattanooga,John Bright (biblical scholar)
James S. Allen,1931,Chattanooga,James S. Allen
Jerry H. Bentley,1971,the University of Tennessee,Jerry H. Bentley
Rosalind Hackett,2003,the University of Tennessee,Rosalind Hackett
Carroll Van West,1978,the University of Tennessee,Carroll Van West
Edward L. Ayers,1974,the University of Tennessee,Edward L. Ayers
Jerry H. Bentley,1976,the University of Hawaii,Jerry H. Bentley
Elton L. Daniel,1978,the University of Hawaii,Elton L. Daniel
Feng Youlan,1948,the University of Hawaii,Feng Youlan
Mark Peattie,1995,the University of Hawaii,Mark Peattie
Donald Worster,1941,Hutchinson,Donald Worster
George P. Hammond,1896,Hutchinson,George P. Hammond
Donald Worster,1963,the University of Kansas,Donald Worster
Stanford Lehmberg,1953,the University of Kansas,Stanford Lehmberg
Beth Bailey (historian),2015,the University of Kansas,Beth Bailey (historian)
Annie Heloise Abel,1895,the University of Kansas,Annie Heloise Abel
David Roediger,1952,the University of Kansas,David Roediger
Ephraim Douglass Adams,1891,the University of Kansas,Ephraim Douglass Adams
John F. Sweets,1972,the University of Kansas,John F. Sweets
John Philipps Kenyon,1987,the University of Kansas,John Philipps Kenyon
Wallace Notestein,1905,the University of Kansas,Wallace Notestein
William E. Kapelle,1965,the University of Kansas,William E. Kapelle
Yisrael Friedman (Pashkaner Rebbe),1923,Pașcani,Yisrael Friedman (Pashkaner Rebbe)
Carlos Eire,1950,Havana,Carlos Eire
Asunción Lavrin,1935,Havana,Asunción Lavrin
Manuel Barcia,1972,Havana,Manuel Barcia
Eusebio Leal,1942,Havana,Eusebio Leal
Ruth Katz,1950,Herzliya,Ruth Katz
Ruth Kark,1941,Herzliya,Ruth Kark
Raanan Rein,1960,Tel Aviv University,Raanan Rein
Esther Benbassa,1972,Tel Aviv University,Esther Benbassa
Gideon Greif,1976,Tel Aviv University,Gideon Greif
Michael Confino,1970,Tel Aviv University,Michael Confino
Yaacov Oved,1998,Tel Aviv University,Yaacov Oved
Moshe Lewin,1961,Tel Aviv University,Moshe Lewin
Benjamin Isaac,1945,Tel Aviv University,Benjamin Isaac
David Tal (historian),1986,Tel Aviv University,David Tal (historian)
Mordechai Gichon,1990,Tel Aviv University,Mordechai Gichon
Aryeh Kasher,1966,Tel Aviv University,Aryeh Kasher
Aryeh Kasher,1973,Tel Aviv University,Aryeh Kasher
David Engel (historian),1996,Tel Aviv University,David Engel (historian)
Haggai Erlich,1942,Tel Aviv University,Haggai Erlich
Haggai Erlich,1969,Tel Aviv University,Haggai Erlich
Haggai Erlich,1973,Tel Aviv University,Haggai Erlich
Haggai Erlich,2004,Tel Aviv University,Haggai Erlich
Melvyn Dubofsky,1977,Tel Aviv University,Melvyn Dubofsky
Yaron Tsur,1990,Tel Aviv University,Yaron Tsur
Ori Kritz,1981,Tel Aviv University,Ori Kritz
Raanan Rein,2012,Tel Aviv University’s,Raanan Rein
Raanan Rein,2014,Hofstra University,Raanan Rein
Anson Rabinbach,1967,Hofstra University,Anson Rabinbach
Jonathan D. Moreno,1973,Hofstra University,Jonathan D. Moreno
Henry Friedlander,1975,Brooklyn College,Henry Friedlander
John Hope Franklin,1956,Brooklyn College,John Hope Franklin
Meyer Reinhold,1938,Brooklyn College,Meyer Reinhold
Seymour P. Lachman,1955,Brooklyn College,Seymour P. Lachman
Raul Hilberg,1948,Brooklyn College,Raul Hilberg
Norman M. Klein,1968,Brooklyn College,Norman M. Klein
Thomas Kessner,1963,Brooklyn College,Thomas Kessner
Gertrude Himmelfarb,1942,Brooklyn College,Gertrude Himmelfarb
Oscar Handlin,1930,Brooklyn College,Oscar Handlin
Oscar Handlin,1936,Brooklyn College,Oscar Handlin
Donald Kagan,1954,Brooklyn College,Donald Kagan
Ari Hoogenboom,1927,Brooklyn College,Ari Hoogenboom
Bernard Grebanier,1926,Brooklyn College,Bernard Grebanier
Christoph M. Kimmich,2000,Brooklyn College,Christoph M. Kimmich
Edwin G. Burrows,1943,Brooklyn College,Edwin G. Burrows
Eugene Genovese,1953,Brooklyn College,Eugene Genovese
Joel H. Silbey,1955,Brooklyn College,Joel H. Silbey
Greg Grandin,1992,Brooklyn College,Greg Grandin
John Parascandola,1968,Brooklyn College,John Parascandola
KC Johnson,1967,Brooklyn College,KC Johnson
Melvyn Dubofsky,1958,Brooklyn College,Melvyn Dubofsky
Richard Slotkin,1963,Brooklyn College,Richard Slotkin
Emil Seckel,1864,Neuenheim,Emil Seckel
Kamala Sankrityayan,1920,Kalimpong,Kamala Sankrityayan
Dorzhi Banzarov,1822,Dzhidinsky District,Dorzhi Banzarov
Dorzhi Banzarov,1842,Kazan University,Dorzhi Banzarov
Pavel Rovinsky,1848,Kazan University,Pavel Rovinsky
Dorzhi Banzarov,1850,Irkutsk,Dorzhi Banzarov
Julia Danzas,1928,Irkutsk,Julia Danzas
Gerhard Müller (Lutheran theologian),1982,Brunswick,Gerhard Müller (Lutheran theologian)
George Washington Greene,1824,Brunswick,George Washington Greene
Peter Hayes (historian),1968,Brunswick,Peter Hayes (historian)
Isaak Markus Jost,1809,Brunswick,Isaak Markus Jost
Arthur Butchers,1885,Brunswick,Arthur Butchers
Cornelia Walker Bailey,2017,Brunswick,Cornelia Walker Bailey
William L. Moran,1990,Brunswick,William L. Moran
William L. Moran,2000,Brunswick,William L. Moran
Karl Heinrich Lang,1842,Brunswick,Karl Heinrich Lang
Gerhard Müller (Lutheran theologian),1980,the University of St Andrews,Gerhard Müller (Lutheran theologian)
John Duncan Mackie,1909,the University of St Andrews,John Duncan Mackie
Nicholas Brooks (historian),1964,the University of St Andrews,Nicholas Brooks (historian)
Archibald Main,1906,the University of St Andrews,Archibald Main
A. Dirk Moses,1989,the University of St Andrews,A. Dirk Moses
Aileen Fyfe,2011,the University of St Andrews,Aileen Fyfe
Sheilagh Ogilvie,1979,the University of St Andrews,Sheilagh Ogilvie
Stephen Alford,1999,the University of St Andrews,Stephen Alford
Colin MacGilp MacDonald,1914,the University of St Andrews,Colin MacGilp MacDonald
Colin Kidd,2010,the University of St Andrews,Colin Kidd
Laura A. M. Stewart,2003,the University of St Andrews,Laura A. M. Stewart
Henry Guthrie,1621,the University of St Andrews,Henry Guthrie
Steve Murdoch,2004,the University of St Andrews,Steve Murdoch
Steve Murdoch,2021,the University of St Andrews,Steve Murdoch
William Croft Dickinson,1916,the University of St Andrews,William Croft Dickinson
Hugh N. Kennedy,1972,the University of St Andrews,Hugh N. Kennedy
Annette Gordon-Reed,2014,Queen's College,Annette Gordon-Reed
Robert Howard Hodgkin,1936,Queen's College,Robert Howard Hodgkin
Thomas Tonkin,1693,Queen's College,Thomas Tonkin
Daniele Ganser,1972,Lugano,Daniele Ganser
Thomas Fuller,1647,Eastcheap,Thomas Fuller
Thomas Fuller,1661,West,Thomas Fuller
Thomas Fuller,1640,Chisenbury,Thomas Fuller
Slobodan Prosperov Novak,1973,Zagreb,Slobodan Prosperov Novak
Slobodan Prosperov Novak,2010,Zagreb,Slobodan Prosperov Novak
Slobodan Prosperov Novak,1989,Zagreb,Slobodan Prosperov Novak
Nikica Kolumbić,1955,Zagreb,Nikica Kolumbić
Zdravko Dizdar,1941,Zagreb,Zdravko Dizdar
Zdravko Dizdar,1980,Zagreb,Zdravko Dizdar
Antun Barac,1930,Zagreb,Antun Barac
Pavle Solarić,1803,Zagreb,Pavle Solarić
Ferdo Šišić,1888,Zagreb,Ferdo Šišić
Lujo Margetić,1943,Zagreb,Lujo Margetić
Dejan Medaković,1922,Zagreb,Dejan Medaković
Miroslav Kurelac,1954,Zagreb,Miroslav Kurelac
Miroslav Kurelac,1988,Zagreb,Miroslav Kurelac
Željko Bujas,1954,Zagreb,Željko Bujas
Mirjana Gross,1922,Zagreb,Mirjana Gross
Mirjana Gross,1943,Zagreb,Mirjana Gross
Martin Previšić,1984,Zagreb,Martin Previšić
Ivo Pilar,1920,Zagreb,Ivo Pilar
Filip Šimetin Šegvić,1986,Zagreb,Filip Šimetin Šegvić
Ines G. Županov,1955,Zagreb,Ines G. Županov
Igor Vukić,1966,Zagreb,Igor Vukić
Josip Mikoczy-Blumenthal,1734,Zagreb,Josip Mikoczy-Blumenthal
Ljubo Boban,1994,Zagreb,Ljubo Boban
Mate Meštrović,1930,Zagreb,Mate Meštrović
Grga Novak,1913,Zagreb,Grga Novak
Grga Novak,1939,Zagreb,Grga Novak
Slobodan Jovanović,1927,Zagreb,Slobodan Jovanović
Slobodan Prosperov Novak,1998,Hvar,Slobodan Prosperov Novak
Johannes Dierauer,1868,the Cantonal School,Johannes Dierauer
Johannes Dierauer,1842,Berneck,Johannes Dierauer
Gerd Koenen,1972,Frankfurt,Gerd Koenen
Renate Dürr,1999,Frankfurt,Renate Dürr
Edgar Goldschmid,1881,Frankfurt,Edgar Goldschmid
Selma Stern,1914,Frankfurt,Selma Stern
Michael Stolleis,2021,Frankfurt,Michael Stolleis
Gerhard Menk,1971,Frankfurt,Gerhard Menk
Gerrit Walther,1987,Frankfurt,Gerrit Walther
Gerrit Walther,1997,Frankfurt,Gerrit Walther
Arnold Ehrhardt,1935,Frankfurt,Arnold Ehrhardt
Hans Thieme,1931,Frankfurt,Hans Thieme
R. J. Zwi Werblowsky,2015,Frankfurt,R. J. Zwi Werblowsky
Irene Dingel,1998,Frankfurt,Irene Dingel
Jan C. Behrends,2022,Frankfurt,Jan C. Behrends
Johannes Kunisch,1971,Frankfurt,Johannes Kunisch
Norbert Frei,1955,Frankfurt,Norbert Frei
Norbert Frei,1996,Frankfurt,Norbert Frei
Manfred Pohl,1981,Frankfurt,Manfred Pohl
Notker Hammerstein,1949,Frankfurt,Notker Hammerstein
Notker Hammerstein,1960,Frankfurt,Notker Hammerstein
Paul Leser,1899,Frankfurt,Paul Leser
Paul Leser,1908,Frankfurt,Paul Leser
Georg Ludwig Kriegk,1834,Frankfurt,Georg Ludwig Kriegk
David P. Gushee,1962,Frankfurt,David P. Gushee
Anton Schindling,1947,Frankfurt,Anton Schindling
Anton Schindling,1953,Frankfurt,Anton Schindling
Heinrich Graetz,1845,Frankfurt,Heinrich Graetz
Heinrich von Sybel,1844,Frankfurt,Heinrich von Sybel
Jacob Katz,1928,Frankfurt,Jacob Katz
Peter Rafael Bloch,1933,Frankfurt,Peter Rafael Bloch
Ursula Hoff,1930,Frankfurt,Ursula Hoff
Rainer Zitelmann,1957,Frankfurt,Rainer Zitelmann
Otto Lauffer,1907,Frankfurt,Otto Lauffer
Alexander Riese,1840,Frankfurt,Alexander Riese
Ruth Lapide,2022,Frankfurt,Ruth Lapide
Horst Ueberhorst,1952,Bad Godesberg,Horst Ueberhorst
Ahmad Surkati,1909,Mecca,Ahmad Surkati
Ahmad Surkati,1911,Batavia,Ahmad Surkati
Nugroho Notosusanto,1942,Batavia,Nugroho Notosusanto
Ahmad Surkati,1943,Jakarta,Ahmad Surkati
H. J. de Graaf,1950,Jakarta,H. J. de Graaf
Azyumardi Azra,1955,Jakarta,Azyumardi Azra
Des Alwi,2010,Jakarta,Des Alwi
George Vernadsky,1887,Saint Petersburg,George Vernadsky
Alexander Mikhailovsky-Danilevsky,1848,Saint Petersburg,Alexander Mikhailovsky-Danilevsky
Marie-Félicité Brosset,1837,Saint Petersburg,Marie-Félicité Brosset
Krste Misirkov,1900,Saint Petersburg,Krste Misirkov
Konstantin Kavelin,1839,Saint Petersburg,Konstantin Kavelin
Nikolai Antsiferov,1908,Saint Petersburg,Nikolai Antsiferov
Alexander Lakier,1847,Saint Petersburg,Alexander Lakier
George Vernadsky,1905,the Moscow University,George Vernadsky
George Vernadsky,1910,the Moscow University,George Vernadsky
Vladimir Kobrin,1951,the Moscow University,Vladimir Kobrin
Sergey Solovyov (historian),1844,the Moscow University,Sergey Solovyov (historian)
Jörg Baberowski,1961,Radolfzell am Bodensee,Jörg Baberowski
Jörg Baberowski,1989,the Goethe University,Jörg Baberowski
Hubert Wolf,1992,the Goethe University,Hubert Wolf
Wilhelm Heinz Schröder,1946,Cologne University,Wilhelm Heinz Schröder
Wilhelm Heinz Schröder,1971,Cologne University,Wilhelm Heinz Schröder
Wolfgang Kunkel,1956,the University of Munich,Wolfgang Kunkel
Mihailo Valtrović,1898,the University of Munich,Mihailo Valtrović
Helmut Krausnick,1968,the University of Munich,Helmut Krausnick
Peter Lieb,1944,the University of Munich,Peter Lieb
John Komlos,1944,the University of Munich,John Komlos
Friedrich Hermann Schubert,1959,the University of Munich,Friedrich Hermann Schubert
Ludwig Eiber,1978,the University of Munich,Ludwig Eiber
Martin Hose,1997,the University of Munich,Martin Hose
Michael Doeberl,1887,the University of Munich,Michael Doeberl
Michael Doeberl,1917,the University of Munich,Michael Doeberl
Michael Phayer,1968,the University of Munich,Michael Phayer
Agnes Wergeland,1883,the University of Munich,Agnes Wergeland
Konrad Maurer,1855,the University of Munich,Konrad Maurer
Alexander Schenk Graf von Stauffenberg,1948,the University of Munich,Alexander Schenk Graf von Stauffenberg
Johann Nepomuk Sepp,1844,the University of Munich,Johann Nepomuk Sepp
Walter Frank,1923,the University of Munich,Walter Frank
Robert von Pöhlmann,1901,the University of Munich,Robert von Pöhlmann
Volker Press,1957,the University of Munich,Volker Press
Karl Theodor von Heigel,1873,the University of Munich,Karl Theodor von Heigel
Johann Gottfried Hoche,1762,Gratzungen,Johann Gottfried Hoche
Johann Gottfried Hoche,1816,Halberstadt,Johann Gottfried Hoche
Yitzhak Baer,1888,Halberstadt,Yitzhak Baer
Serhii Plokhy,1996,the University of Alberta,Serhii Plokhy
Lynne Bowen,1962,the University of Alberta,Lynne Bowen
Frank Peers,1936,the University of Alberta,Frank Peers
William J. Eccles,1963,the University of Alberta,William J. Eccles
Brent Shaw,1968,the University of Alberta,Brent Shaw
Frits Pannekoek,1969,the University of Alberta,Frits Pannekoek
George A. Rothrock,1964,the University of Alberta,George A. Rothrock
Olive Dickason,1976,the University of Alberta,Olive Dickason
Kim Yong Seob,1931,Yonsei University,Kim Yong Seob
Kim Yong Seob,1997,Yonsei University,Kim Yong Seob
Kim Yong Seob,2000,Yonsei University,Kim Yong Seob
Kim Yong Seob,1931,Tongcheon,Kim Yong Seob
Kim Yong Seob,1959,Seoul National University,Kim Yong Seob
Wolfgang Ernst (media theorist),2003,Humboldt University of Berlin,Wolfgang Ernst (media theorist)
Heinrich Scheel (historian),1960,Humboldt University of Berlin,Heinrich Scheel (historian)
Erich Maschke,1929,Konigsberg,Erich Maschke
Erich Maschke,1963,Toulouse,Erich Maschke
Martyn Lyons,1968,Toulouse,Martyn Lyons
Émile Cartailhac,1882,Toulouse,Émile Cartailhac
Auguste Molinier,1873,Toulouse,Auguste Molinier
Manex Goihenetxe,1969,Toulouse,Manex Goihenetxe
Michel Roquebert,1955,Toulouse,Michel Roquebert
Michel Roquebert,2020,Toulouse,Michel Roquebert
René Souriac,1966,Toulouse,René Souriac
William J. R. Curtis,2005,Toulouse,William J. R. Curtis
Pierre Batiffol,1898,Toulouse,Pierre Batiffol
Erich Maschke,1931,Ziegelhausen,Erich Maschke
Duarte Leite,1864,Porto,Duarte Leite
Joaquim Pedro de Oliveira Martins,1883,Porto,Joaquim Pedro de Oliveira Martins
João Paulo Borges Coelho,1955,Porto,João Paulo Borges Coelho
José Pacheco Pereira,1949,Porto,José Pacheco Pereira
José Pacheco Pereira,1921,Porto,José Pacheco Pereira
José Pacheco Pereira,1985,Porto,José Pacheco Pereira
Duarte Nunes de Leão,1530,Évora,Duarte Nunes de Leão
Dubravko Lovrenović,1956,Sarajevo,Dubravko Lovrenović
Izet Sarajlić,1945,Sarajevo,Izet Sarajlić
Izet Sarajlić,2002,Sarajevo,Izet Sarajlić
Marko Attila Hoare,1997,Sarajevo,Marko Attila Hoare
Srećko Matko Džaja,1956,Sarajevo,Srećko Matko Džaja
Srećko Matko Džaja,1973,Sarajevo,Srećko Matko Džaja
Enver Redžić,1940,Sarajevo,Enver Redžić
Esther Gitman,1941,Sarajevo,Esther Gitman
Hrvoje Matković,1947,Šibenik,Hrvoje Matković
Hrvoje Matković,1948,Ogulin,Hrvoje Matković
Zdravko Dizdar,1962,Zemun,Zdravko Dizdar
Ljubodrag Dimić,1956,Zemun,Ljubodrag Dimić
Zdravko Dizdar,1972,Bihać,Zdravko Dizdar
Enver Redžić,1944,Bihać,Enver Redžić
Retha Warnicke,1939,Arizona State University,Retha Warnicke
Marshall Trimble,1961,Arizona State University,Marshall Trimble
Stephen J. Pyne,1985,Arizona State University,Stephen J. Pyne
Mark von Hagen,1954,Arizona State University,Mark von Hagen
Eduardo Obregón Pagán,1987,Arizona State University,Eduardo Obregón Pagán
KC Johnson,2005,Arizona State University,KC Johnson
Peter Iverson,1944,Arizona State University,Peter Iverson
Retha Warnicke,1965,Phoenix College,Retha Warnicke
Retha Warnicke,1966,ASU,Retha Warnicke
Retha Warnicke,1969,ASU,Retha Warnicke
Natko Nodilo,1856,Split,Natko Nodilo
Thomas the Archdeacon,1243,Split,Thomas the Archdeacon
Bogdan Raditsa,1904,Split,Bogdan Raditsa
Branka Prpa,1953,Split,Branka Prpa
Vjekoslav Perica,1980,Split,Vjekoslav Perica
Antun Barac,1894,Kamenjak,Antun Barac
Gottlob Benedikt von Schirach,1743,Parowa,Gottlob Benedikt von Schirach
Miloš Milojević (lawyer),1866,Serbia,Miloš Milojević (lawyer)
Mihailo Valtrović,1839,Serbia,Mihailo Valtrović
Dragiša Lapčević,1922,Serbia,Dragiša Lapčević
Milan Milićević,1850,Serbia,Milan Milićević
Pavel Rovinsky,1871,Serbia,Pavel Rovinsky
Desanka Kovačević-Kojić,1925,Serbia,Desanka Kovačević-Kojić
Ivan Ivanić,1867,Serbia,Ivan Ivanić
Nićifor Dučić,1867,Serbia,Nićifor Dučić
Obrad Stanojević,1934,Serbia,Obrad Stanojević
Alexandru Vulpe,1931,Bucharest,Alexandru Vulpe
Constantin Giurescu (historian),1906,Bucharest,Constantin Giurescu (historian)
Constantin Giurescu (historian),1918,Bucharest,Constantin Giurescu (historian)
Mihnea Berindei,1966,Bucharest,Mihnea Berindei
Nicolae Dobrescu,1888,Bucharest,Nicolae Dobrescu
Nicolae Dobrescu,1905,Bucharest,Nicolae Dobrescu
Niculae M. Popescu,1893,Bucharest,Niculae M. Popescu
Radu Rosetti,1903,Bucharest,Radu Rosetti
Radu Rosetti,1926,Bucharest,Radu Rosetti
Ștefan Fălcoianu,1882,Bucharest,Ștefan Fălcoianu
Dimitrie Gusti,1920,Bucharest,Dimitrie Gusti
Dimitrie Gusti,1936,Bucharest,Dimitrie Gusti
